FirstName,LastName,UID,City,Address1,Address2,PostalCode,State,Country,PhoneNumber,Status
FirstName1,LastName1,uid1,CityA,Add1,,234324,ON,CA,123-123-1233,1
FirstName2,LastName2,uid2,CityB,,Add2,,ON,CA,231-231-3321,1
FirstName3,LastName3,uid3,CityC,,,,ON,CA,123-123-1234,0
FirstName4,LastName4,uid4,CityD,Add2,,234325,ON,CA,123-123-1235,1
FirstName5,LastName5,uid5,CityE,,Add3,,ON,CA,123-123-1234,1
FirstName6,LastName6,uid6,CityA,,,,ON,CA,231-231-3322,1
FirstName7,LastName7,uid7,CityB,Add3,,234326,ON,CA,123-123-1236,1
FirstName8,LastName8,uid8,CityC,,Add4,,ON,CA,123-123-1237,0
FirstName9,LastName9,uid9,CityD,,,,ON,CA,123-123-1235,0
FirstName10,LastName10,uid10,CityE,Add4,,234327,ON,CA,231-231-3323,1
FirstName11,LastName11,uid11,CityA,,Add5,,ON,CA,123-123-1238,1
FirstName12,LastName12,uid12,CityB,,,,ON,CA,123-123-1239,1
FirstName13,LastName13,uid13,CityC,Add5,,234328,ON,CA,123-123-1236,1
FirstName14,LastName14,uid14,CityD,,Add6,,ON,CA,231-231-3324,1
FirstName15,LastName15,uid15,CityE,,,,ON,CA,123-123-1240,1
FirstName16,LastName16,uid16,CityA,Add6,,234329,ON,CA,123-123-1241,1
FirstName17,LastName17,uid17,CityB,,Add7,,ON,CA,123-123-1237,1
FirstName18,LastName18,uid18,CityC,,,,ON,CA,231-231-3325,0
FirstName19,LastName19,uid19,CityD,Add7,,234330,ON,CA,123-123-1242,0
FirstName20,LastName20,uid20,CityE,,Add8,,ON,CA,123-123-1243,0
FirstName21,LastName21,uid21,CityA,,,,ON,CA,123-123-1238,0
FirstName22,LastName22,uid22,CityB,Add8,,234331,ON,CA,231-231-3326,0
FirstName23,LastName23,uid23,CityC,,Add9,,ON,CA,123-123-1244,1
FirstName24,LastName24,uid24,CityD,,,,ON,CA,123-123-1245,1
FirstName25,LastName25,uid25,CityE,Add9,,234332,ON,CA,123-123-1239,1
FirstName26,LastName26,uid26,CityA,,Add10,,ON,CA,231-231-3327,1
FirstName27,LastName27,uid27,CityB,,,,ON,CA,123-123-1246,1
FirstName28,LastName28,uid28,CityC,Add10,,234333,ON,CA,123-123-1247,1
FirstName29,LastName29,uid29,CityD,,Add11,,ON,CA,123-123-1240,1
FirstName30,LastName30,uid30,CityE,,,,ON,CA,231-231-3328,1
FirstName31,LastName31,uid31,CityA,Add11,,234334,ON,CA,123-123-1248,1
